Time,Dataset,TypeDataset,IR,Repetition,SmoteMin,SmoteMax,Filter,Classifier,Tr_crIns,Tr_crIns%,Tr_incrIns,Tr_incrIns%,Tr_Kappa,Tr_meanAbs,Tr_rootMeanSq,Tr_relAbs,Tr_rootRelSq,Tr_NumIns,Tr_WA_TP,Tr_WA_FP,Tr_WA_Acc,Tr_WA_Recall,Tr_WA_F_M,Tr_WA_MCC,Tr_WA_ROC,Tr_WA_PRC,Te_crIns,Te_crIns%,Te_incrIns,Te_incrIns%,Te_Kappa,Te_meanAbs,Te_rootMeanSq,Te_relAbs,Te_rootRelSq,Te_NumIns,Te_WA_TP,Te_WA_FP,Te_WA_Acc,Te_WA_Recall,Te_WA_F_M,Te_WA_MCC,Te_WA_ROC,Te_WA_PRC,carToRetainWithClass
2022-7-18/15:4:46,cns,micro,2,3,100,40,CFS,SVM,64,100,0,0,1,0,0,0,0,64,1,0,1,1,1,1,1,1,14,70,6,30,0.37,0.3,0.55,60.92,111.19,20,0.7,0.23,0.79,0.7,0.72,0.41,0.73,0.74,108
2022-7-18/15:5:57,cns,micro,1,4,100,0,None,IB1,56,100,0,0,1,0.02,0.02,3.61,3.53,56,1,0,1,1,1,1,1,1,11,55,9,45,0.15,0.45,0.66,80.37,116.06,20,0.55,0.3,0.77,0.55,0.59,0.2,0.63,0.73,7130
2022-7-18/15:6:2,cns,micro,1,4,100,0,None,SVM,56,100,0,0,1,0,0,0,0,56,1,0,1,1,1,1,1,1,16,80,4,20,0.47,0.2,0.45,35.58,78.72,20,0.8,0.24,0.84,0.8,0.81,0.49,0.78,0.81,7130
2022-7-18/15:8:30,cns,micro,1,4,100,0,CFS,IB1,56,100,0,0,1,0.02,0.02,3.61,3.53,56,1,0,1,1,1,1,1,1,6,30,14,70,-0.03,0.69,0.82,123.31,144.74,20,0.3,0.36,0.64,0.3,0.3,-0.01,0.47,0.67,74
2022-7-18/15:8:31,cns,micro,1,4,100,0,CFS,SVM,56,100,0,0,1,0,0,0,0,56,1,0,1,1,1,1,1,1,12,60,8,40,0.2,0.4,0.63,71.17,111.32,20,0.6,0.29,0.78,0.6,0.64,0.25,0.66,0.74,74
2022-7-18/15:9:6,cns,micro,1,4,100,RUS,None,IB1,45,100,0,0,1,0.02,0.02,4.26,4.26,45,1,0,1,1,1,1,1,1,10,50,10,50,0,0.5,0.69,98.74,136.68,20,0.5,0.5,0.68,0.5,0.55,0,0.5,0.68,7130
2022-7-18/15:9:11,cns,micro,1,4,100,RUS,None,SVM,45,100,0,0,1,0,0,0,0,45,1,0,1,1,1,1,1,1,17,85,3,15,0.57,0.15,0.39,29.62,76.47,20,0.85,0.23,0.87,0.85,0.86,0.58,0.81,0.83,7130
2022-7-18/15:13:57,cns,micro,1,4,100,RUS,CFS,IB1,45,100,0,0,1,0.02,0.02,4.26,4.26,45,1,0,1,1,1,1,1,1,6,30,14,70,-0.03,0.69,0.82,136.55,161.7,20,0.3,0.36,0.64,0.3,0.3,-0.01,0.47,0.67,99
2022-7-18/15:13:58,cns,micro,1,4,100,RUS,CFS,SVM,45,100,0,0,1,0,0,0,0,45,1,0,1,1,1,1,1,1,14,70,6,30,0.21,0.3,0.55,59.24,108.15,20,0.7,0.45,0.75,0.7,0.72,0.22,0.63,0.73,99
2022-7-18/15:14:42,cns,micro,1,4,100,40,None,IB1,65,100,0,0,1,0.01,0.01,2.99,2.99,65,1,0,1,1,1,1,1,1,12,60,8,40,0.2,0.4,0.62,78.49,121.29,20,0.6,0.29,0.78,0.6,0.64,0.25,0.66,0.74,7130
2022-7-18/15:14:47,cns,micro,1,4,100,40,None,SVM,65,100,0,0,1,0,0,0,0,65,1,0,1,1,1,1,1,1,16,80,4,20,0.47,0.2,0.45,38.95,87.05,20,0.8,0.24,0.84,0.8,0.81,0.49,0.78,0.81,7130
2022-7-18/15:19:44,cns,micro,1,4,100,40,CFS,IB1,65,100,0,0,1,0.01,0.01,2.99,2.99,65,1,0,1,1,1,1,1,1,5,25,15,75,-0.06,0.74,0.85,144.62,166.06,20,0.25,0.38,0.57,0.25,0.23,-0.01,0.44,0.66,107
2022-7-18/15:19:45,cns,micro,1,4,100,40,CFS,SVM,65,100,0,0,1,0,0,0,0,65,1,0,1,1,1,1,1,1,14,70,6,30,0.21,0.3,0.55,58.43,106.61,20,0.7,0.45,0.75,0.7,0.72,0.22,0.63,0.73,107
2022-7-18/15:20:53,cns,micro,3,5,100,0,None,IB1,50,100,0,0,1,0.02,0.02,3.9,3.87,50,1,0,1,1,1,1,1,1,12,60,8,40,0.2,0.4,0.62,80.77,123.28,20,0.6,0.4,0.6,0.6,0.6,0.2,0.6,0.56,7130
2022-7-18/15:20:58,cns,micro,3,5,100,0,None,SVM,50,100,0,0,1,0,0,0,0,50,1,0,1,1,1,1,1,1,10,50,10,50,0,0.5,0.71,100,140.49,20,0.5,0.5,0.5,0.5,0.45,0,0.5,0.5,7130
2022-7-18/15:27:3,cns,micro,3,5,100,0,CFS,IB1,50,100,0,0,1,0.02,0.02,3.9,3.87,50,1,0,1,1,1,1,1,1,12,60,8,40,0.2,0.4,0.62,80.77,123.28,20,0.6,0.4,0.6,0.6,0.6,0.2,0.6,0.56,122
2022-7-18/15:27:4,cns,micro,3,5,100,0,CFS,SVM,50,100,0,0,1,0,0,0,0,50,1,0,1,1,1,1,1,1,12,60,8,40,0.2,0.4,0.63,80,125.66,20,0.6,0.4,0.62,0.6,0.58,0.22,0.6,0.56,122
2022-7-18/15:27:37,cns,micro,3,5,100,RUS,None,IB1,43,100,0,0,1,0.02,0.02,4.45,4.45,43,1,0,1,1,1,1,1,1,9,45,11,55,-0.1,0.55,0.73,109.56,145.02,20,0.45,0.55,0.45,0.45,0.44,-0.01,0.45,0.48,7130
2022-7-18/15:27:43,cns,micro,3,5,100,RUS,None,SVM,43,100,0,0,1,0,0,0,0,43,1,0,1,1,1,1,1,1,11,55,9,45,0.1,0.45,0.67,90,134.13,20,0.55,0.45,0.57,0.55,0.52,0.12,0.55,0.53,7130
2022-7-18/15:31:7,cns,micro,3,5,100,RUS,CFS,IB1,43,100,0,0,1,0.02,0.02,4.45,4.45,43,1,0,1,1,1,1,1,1,12,60,8,40,0.2,0.4,0.62,80.89,123.7,20,0.6,0.4,0.62,0.6,0.58,0.22,0.6,0.56,95
2022-7-18/15:31:8,cns,micro,3,5,100,RUS,CFS,SVM,43,100,0,0,1,0,0,0,0,43,1,0,1,1,1,1,1,1,13,65,7,35,0.3,0.35,0.59,70,118.29,20,0.65,0.35,0.65,0.65,0.65,0.3,0.65,0.6,95
2022-7-18/15:31:51,cns,micro,3,5,100,40,None,IB1,61,100,0,0,1,0.02,0.02,3.43,3.31,61,1,0,1,1,1,1,1,1,12,60,8,40,0.2,0.4,0.62,80.63,120.21,20,0.6,0.4,0.6,0.6,0.6,0.2,0.6,0.56,7130
2022-7-18/15:31:56,cns,micro,3,5,100,40,None,SVM,61,100,0,0,1,0,0,0,0,61,1,0,1,1,1,1,1,1,10,50,10,50,0,0.5,0.71,100,136.54,20,0.5,0.5,0.5,0.5,0.45,0,0.5,0.5,7130
2022-7-18/15:37:5,cns,micro,3,5,100,40,CFS,IB1,61,100,0,0,1,0.02,0.02,3.43,3.31,61,1,0,1,1,1,1,1,1,14,70,6,30,0.4,0.31,0.54,61.27,104.11,20,0.7,0.3,0.71,0.7,0.7,0.41,0.7,0.64,119
2022-7-18/15:37:6,cns,micro,3,5,100,40,CFS,SVM,61,100,0,0,1,0,0,0,0,61,1,0,1,1,1,1,1,1,12,60,8,40,0.2,0.4,0.63,80,122.12,20,0.6,0.4,0.6,0.6,0.6,0.2,0.6,0.56,119
2022-7-18/15:38:16,cns,micro,2,6,100,0,None,IB1,55,100,0,0,1,0.02,0.02,3.6,3.56,55,1,0,1,1,1,1,1,1,11,55,9,45,0.18,0.45,0.66,83.74,121.22,20,0.55,0.28,0.74,0.55,0.57,0.24,0.63,0.69,7130
2022-7-18/15:38:22,cns,micro,2,6,100,0,None,SVM,55,100,0,0,1,0,0,0,0,55,1,0,1,1,1,1,1,1,13,65,7,35,0.22,0.35,0.59,64.88,108.79,20,0.65,0.38,0.72,0.65,0.67,0.24,0.63,0.69,7130
2022-7-18/15:40:9,cns,micro,2,6,100,0,CFS,IB1,55,100,0,0,1,0.02,0.02,3.6,3.56,55,1,0,1,1,1,1,1,1,9,45,11,55,0.08,0.55,0.73,101.63,134,20,0.45,0.32,0.7,0.45,0.46,0.13,0.57,0.65,68
2022-7-18/15:40:11,cns,micro,2,6,100,0,CFS,SVM,55,100,0,0,1,0,0,0,0,55,1,0,1,1,1,1,1,1,11,55,9,45,0.1,0.45,0.67,83.41,123.36,20,0.55,0.42,0.68,0.55,0.58,0.12,0.57,0.65,68
2022-7-18/15:40:46,cns,micro,2,6,100,RUS,None,IB1,47,100,0,0,1,0.02,0.02,4.08,4.08,47,1,0,1,1,1,1,1,1,11,55,9,45,0.18,0.45,0.66,89.49,130.11,20,0.55,0.28,0.74,0.55,0.57,0.24,0.63,0.69,7130
2022-7-18/15:40:51,cns,micro,2,6,100,RUS,None,SVM,47,100,0,0,1,0,0,0,0,47,1,0,1,1,1,1,1,1,13,65,7,35,0.3,0.35,0.59,69.29,117.11,20,0.65,0.25,0.78,0.65,0.67,0.35,0.7,0.72,7130
2022-7-18/15:43:1,cns,micro,2,6,100,RUS,CFS,IB1,47,100,0,0,1,0.02,0.02,4.08,4.08,47,1,0,1,1,1,1,1,1,8,40,12,60,0.04,0.6,0.76,117.98,150.22,20,0.4,0.33,0.67,0.4,0.4,0.07,0.53,0.64,71
2022-7-18/15:43:2,cns,micro,2,6,100,RUS,CFS,SVM,47,100,0,0,1,0,0,0,0,47,1,0,1,1,1,1,1,1,15,75,5,25,0.44,0.25,0.5,49.49,98.97,20,0.75,0.22,0.81,0.75,0.77,0.47,0.77,0.77,71
2022-7-18/15:43:46,cns,micro,2,6,100,40,None,IB1,64,100,0,0,1,0.02,0.02,3.03,3.03,64,1,0,1,1,1,1,1,1,11,55,9,45,0.18,0.45,0.66,90.3,132.15,20,0.55,0.28,0.74,0.55,0.57,0.24,0.63,0.69,7130
2022-7-18/15:43:51,cns,micro,2,6,100,40,None,SVM,64,100,0,0,1,0,0,0,0,64,1,0,1,1,1,1,1,1,13,65,7,35,0.22,0.35,0.59,70,118.32,20,0.65,0.38,0.72,0.65,0.67,0.24,0.63,0.69,7130
2022-7-18/15:46:26,cns,micro,2,6,100,40,CFS,IB1,64,100,0,0,1,0.02,0.02,3.03,3.03,64,1,0,1,1,1,1,1,1,11,55,9,45,0.18,0.45,0.66,90.3,132.15,20,0.55,0.28,0.74,0.55,0.57,0.24,0.63,0.69,90
2022-7-18/15:46:27,cns,micro,2,6,100,40,CFS,SVM,64,100,0,0,1,0,0,0,0,64,1,0,1,1,1,1,1,1,13,65,7,35,0.22,0.35,0.59,70,118.32,20,0.65,0.38,0.72,0.65,0.67,0.24,0.63,0.69,90
2022-7-18/15:47:38,cns,micro,2,7,100,0,None,IB1,55,100,0,0,1,0.02,0.02,3.56,3.54,55,1,0,1,1,1,1,1,1,9,45,11,55,0,0.55,0.73,103.31,136.63,20,0.45,0.45,0.63,0.45,0.48,0,0.5,0.63,7130
2022-7-18/15:47:43,cns,micro,2,7,100,0,None,SVM,55,100,0,0,1,0,0,0,0,55,1,0,1,1,1,1,1,1,10,50,10,50,-0.18,0.5,0.71,94.21,132.58,20,0.5,0.7,0.56,0.5,0.52,-0.02,0.4,0.59,7130
2022-7-18/15:50:46,cns,micro,2,7,100,0,CFS,IB1,55,100,0,0,1,0.02,0.02,3.56,3.54,55,1,0,1,1,1,1,1,1,10,50,10,50,0.05,0.5,0.69,94.21,130.27,20,0.5,0.43,0.65,0.5,0.53,0.06,0.53,0.64,91
2022-7-18/15:50:47,cns,micro,2,7,100,0,CFS,SVM,55,100,0,0,1,0,0,0,0,55,1,0,1,1,1,1,1,1,10,50,10,50,-0.05,0.5,0.71,94.21,132.58,20,0.5,0.57,0.6,0.5,0.53,-0.01,0.47,0.61,91
2022-7-18/15:51:23,cns,micro,2,7,100,RUS,None,IB1,47,100,0,0,1,0.02,0.02,4.08,4.08,47,1,0,1,1,1,1,1,1,10,50,10,50,-0.05,0.5,0.69,101.03,139.97,20,0.5,0.57,0.6,0.5,0.53,-0.01,0.47,0.61,7130
2022-7-18/15:51:28,cns,micro,2,7,100,RUS,None,SVM,47,100,0,0,1,0,0,0,0,47,1,0,1,1,1,1,1,1,10,50,10,50,-0.18,0.5,0.71,101.03,142.86,20,0.5,0.7,0.56,0.5,0.52,-0.02,0.4,0.59,7130
2022-7-18/15:55:2,cns,micro,2,7,100,RUS,CFS,IB1,47,100,0,0,1,0.02,0.02,4.08,4.08,47,1,0,1,1,1,1,1,1,11,55,9,45,0.1,0.45,0.66,91.34,132.79,20,0.55,0.42,0.68,0.55,0.58,0.12,0.57,0.65,88
2022-7-18/15:55:4,cns,micro,2,7,100,RUS,CFS,SVM,47,100,0,0,1,0,0,0,0,47,1,0,1,1,1,1,1,1,9,45,11,55,-0.22,0.55,0.74,111.13,149.83,20,0.45,0.72,0.53,0.45,0.48,-0.02,0.37,0.58,88
2022-7-18/15:55:47,cns,micro,2,7,100,40,None,IB1,64,100,0,0,1,0.02,0.02,3.03,3.03,64,1,0,1,1,1,1,1,1,7,35,13,65,-0.3,0.65,0.79,131.08,161.2,20,0.35,0.75,0.47,0.35,0.39,-0.03,0.3,0.57,7130
2022-7-18/15:55:52,cns,micro,2,7,100,40,None,SVM,64,100,0,0,1,0,0,0,0,64,1,0,1,1,1,1,1,1,10,50,10,50,-0.18,0.5,0.71,101.54,143.55,20,0.5,0.7,0.56,0.5,0.52,-0.02,0.4,0.59,7130
2022-7-18/15:59:9,cns,micro,2,7,100,40,CFS,IB1,64,100,0,0,1,0.02,0.02,3.03,3.03,64,1,0,1,1,1,1,1,1,11,55,9,45,0.1,0.45,0.66,91.69,134.14,20,0.55,0.42,0.68,0.55,0.58,0.12,0.57,0.65,94
2022-7-18/15:59:10,cns,micro,2,7,100,40,CFS,SVM,64,100,0,0,1,0,0,0,0,64,1,0,1,1,1,1,1,1,12,60,8,40,0.06,0.4,0.63,81.23,128.39,20,0.6,0.53,0.65,0.6,0.62,0.06,0.53,0.64,94
2022-7-18/16:0:20,cns,micro,2,8,100,0,None,IB1,54,100,0,0,1,0.02,0.02,3.61,3.59,54,1,0,1,1,1,1,1,1,14,70,6,30,0.4,0.31,0.54,58.9,102.75,20,0.7,0.22,0.78,0.7,0.71,0.44,0.74,0.72,7130
2022-7-18/16:0:25,cns,micro,2,8,100,0,None,SVM,54,100,0,0,1,0,0,0,0,54,1,0,1,1,1,1,1,1,15,75,5,25,0.43,0.25,0.5,47.95,95.47,20,0.75,0.3,0.76,0.75,0.76,0.44,0.73,0.71,7130
2022-7-18/16:3:14,cns,micro,2,8,100,0,CFS,IB1,54,100,0,0,1,0.02,0.02,3.61,3.59,54,1,0,1,1,1,1,1,1,12,60,8,40,0.2,0.4,0.62,77.4,118.63,20,0.6,0.36,0.68,0.6,0.62,0.22,0.62,0.64,88
2022-7-18/16:3:15,cns,micro,2,8,100,0,CFS,SVM,54,100,0,0,1,0,0,0,0,54,1,0,1,1,1,1,1,1,15,75,5,25,0.38,0.25,0.5,47.95,95.47,20,0.75,0.39,0.74,0.75,0.74,0.38,0.68,0.69,88
2022-7-18/16:3:51,cns,micro,2,8,100,RUS,None,IB1,49,100,0,0,1,0.02,0.02,3.92,3.92,49,1,0,1,1,1,1,1,1,15,75,5,25,0.52,0.26,0.49,51.56,97.32,20,0.75,0.11,0.86,0.75,0.76,0.59,0.82,0.79,7130
2022-7-18/16:3:57,cns,micro,2,8,100,RUS,None,SVM,49,100,0,0,1,0,0,0,0,49,1,0,1,1,1,1,1,1,14,70,6,30,0.35,0.3,0.55,59.53,108.67,20,0.7,0.32,0.73,0.7,0.71,0.36,0.69,0.69,7130
2022-7-18/16:8:22,cns,micro,2,8,100,RUS,CFS,IB1,49,100,0,0,1,0.02,0.02,3.92,3.92,49,1,0,1,1,1,1,1,1,14,70,6,30,0.44,0.31,0.54,61.09,106.59,20,0.7,0.13,0.85,0.7,0.71,0.54,0.79,0.76,89
2022-7-18/16:8:23,cns,micro,2,8,100,RUS,CFS,SVM,49,100,0,0,1,0,0,0,0,49,1,0,1,1,1,1,1,1,15,75,5,25,0.43,0.25,0.5,49.61,99.21,20,0.75,0.3,0.76,0.75,0.76,0.44,0.73,0.71,89
2022-7-18/16:9:7,cns,micro,2,8,100,40,None,IB1,64,100,0,0,1,0.02,0.02,3.04,3.04,64,1,0,1,1,1,1,1,1,14,70,6,30,0.35,0.31,0.54,62.73,110.42,20,0.7,0.32,0.73,0.7,0.71,0.36,0.69,0.69,7130
2022-7-18/16:9:13,cns,micro,2,8,100,40,None,SVM,64,100,0,0,1,0,0,0,0,64,1,0,1,1,1,1,1,1,15,75,5,25,0.43,0.25,0.5,51.24,102.32,20,0.75,0.3,0.76,0.75,0.76,0.44,0.73,0.71,7130
2022-7-18/16:13:9,cns,micro,2,8,100,40,CFS,IB1,64,100,0,0,1,0.02,0.02,3.04,3.04,64,1,0,1,1,1,1,1,1,11,55,9,45,0.13,0.45,0.66,92.55,135.21,20,0.55,0.38,0.65,0.55,0.57,0.15,0.58,0.62,107
2022-7-18/16:13:10,cns,micro,2,8,100,40,CFS,SVM,64,100,0,0,1,0,0,0,0,64,1,0,1,1,1,1,1,1,13,65,7,35,0.2,0.35,0.59,71.74,121.07,20,0.65,0.44,0.67,0.65,0.66,0.21,0.61,0.63,107
2022-7-18/16:14:19,cns,micro,2,9,100,0,None,IB1,52,100,0,0,1,0.02,0.02,3.7,3.7,52,1,0,1,1,1,1,1,1,11,55,9,45,0.08,0.45,0.66,90.37,131.71,20,0.55,0.47,0.56,0.55,0.55,0.08,0.54,0.54,7130
2022-7-18/16:14:24,cns,micro,2,9,100,0,None,SVM,52,100,0,0,1,0,0,0,0,52,1,0,1,1,1,1,1,1,15,75,5,25,0.44,0.25,0.5,50,100,20,0.75,0.33,0.76,0.75,0.73,0.47,0.71,0.67,7130
2022-7-18/16:16:7,cns,micro,2,9,100,0,CFS,IB1,52,100,0,0,1,0.02,0.02,3.7,3.7,52,1,0,1,1,1,1,1,1,11,55,9,45,0.12,0.45,0.66,90.37,131.71,20,0.55,0.42,0.58,0.55,0.55,0.12,0.56,0.55,80
2022-7-18/16:16:8,cns,micro,2,9,100,0,CFS,SVM,52,100,0,0,1,0,0,0,0,52,1,0,1,1,1,1,1,1,15,75,5,25,0.47,0.25,0.5,50,100,20,0.75,0.29,0.75,0.75,0.75,0.47,0.73,0.68,80
2022-7-18/16:16:46,cns,micro,2,9,100,RUS,None,IB1,51,100,0,0,1,0.02,0.02,3.77,3.77,51,1,0,1,1,1,1,1,1,10,50,10,50,0.07,0.5,0.69,99.62,138.23,20,0.5,0.42,0.57,0.5,0.48,0.09,0.54,0.54,7130
2022-7-18/16:16:51,cns,micro,2,9,100,RUS,None,SVM,51,100,0,0,1,0,0,0,0,51,1,0,1,1,1,1,1,1,17,85,3,15,0.68,0.15,0.39,29.89,77.16,20,0.85,0.18,0.85,0.85,0.85,0.69,0.83,0.79,7130
2022-7-18/16:18:22,cns,micro,2,9,100,RUS,CFS,IB1,51,100,0,0,1,0.02,0.02,3.77,3.77,51,1,0,1,1,1,1,1,1,10,50,10,50,0.11,0.5,0.69,99.62,138.23,20,0.5,0.38,0.63,0.5,0.46,0.15,0.56,0.56,72
2022-7-18/16:18:23,cns,micro,2,9,100,RUS,CFS,SVM,51,100,0,0,1,0,0,0,0,51,1,0,1,1,1,1,1,1,15,75,5,25,0.44,0.25,0.5,49.81,99.61,20,0.75,0.33,0.76,0.75,0.73,0.47,0.71,0.67,72
2022-7-18/16:19:6,cns,micro,2,9,100,40,None,IB1,62,100,0,0,1,0.02,0.02,3.21,3.17,62,1,0,1,1,1,1,1,1,12,60,8,40,0.17,0.4,0.62,83.23,126.98,20,0.6,0.43,0.6,0.6,0.6,0.17,0.58,0.57,7130
2022-7-18/16:19:11,cns,micro,2,9,100,40,None,SVM,62,100,0,0,1,0,0,0,0,62,1,0,1,1,1,1,1,1,15,75,5,25,0.44,0.25,0.5,51.61,101.96,20,0.75,0.33,0.76,0.75,0.73,0.47,0.71,0.67,7130
2022-7-18/16:21:30,cns,micro,2,9,100,40,CFS,IB1,62,100,0,0,1,0.02,0.02,3.21,3.17,62,1,0,1,1,1,1,1,1,12,60,8,40,0.17,0.4,0.62,83.23,126.98,20,0.6,0.43,0.6,0.6,0.6,0.17,0.58,0.57,91
2022-7-18/16:21:31,cns,micro,2,9,100,40,CFS,SVM,62,100,0,0,1,0,0,0,0,62,1,0,1,1,1,1,1,1,16,80,4,20,0.57,0.2,0.45,41.29,91.2,20,0.8,0.26,0.81,0.8,0.79,0.58,0.77,0.73,91
2022-7-18/16:22:41,cns,micro,2,10,100,0,None,IB1,54,100,0,0,1,0.02,0.02,3.61,3.59,54,1,0,1,1,1,1,1,1,11,55,9,45,0.2,0.45,0.66,86.64,125.82,20,0.55,0.29,0.71,0.55,0.56,0.25,0.63,0.65,7130
2022-7-18/16:22:46,cns,micro,2,10,100,0,None,SVM,54,100,0,0,1,0,0,0,0,54,1,0,1,1,1,1,1,1,13,65,7,35,0.33,0.35,0.59,67.12,112.96,20,0.65,0.25,0.76,0.65,0.66,0.37,0.7,0.69,7130
2022-7-18/16:26:0,cns,micro,2,10,100,0,CFS,IB1,54,100,0,0,1,0.02,0.02,3.61,3.59,54,1,0,1,1,1,1,1,1,10,50,10,50,0.14,0.5,0.69,95.89,132.62,20,0.5,0.31,0.69,0.5,0.5,0.19,0.59,0.63,87
2022-7-18/16:26:1,cns,micro,2,10,100,0,CFS,SVM,54,100,0,0,1,0,0,0,0,54,1,0,1,1,1,1,1,1,12,60,8,40,0.26,0.4,0.63,76.71,120.76,20,0.6,0.27,0.74,0.6,0.61,0.31,0.67,0.67,87
2022-7-18/16:26:38,cns,micro,2,10,100,RUS,None,IB1,49,100,0,0,1,0.02,0.02,3.92,3.92,49,1,0,1,1,1,1,1,1,11,55,9,45,0.2,0.45,0.66,89.69,130.52,20,0.55,0.29,0.71,0.55,0.56,0.25,0.63,0.65,7130
2022-7-18/16:26:43,cns,micro,2,10,100,RUS,None,SVM,49,100,0,0,1,0,0,0,0,49,1,0,1,1,1,1,1,1,11,55,9,45,0.13,0.45,0.67,89.3,133.1,20,0.55,0.38,0.65,0.55,0.57,0.15,0.58,0.62,7130
2022-7-18/16:29:45,cns,micro,2,10,100,RUS,CFS,IB1,49,100,0,0,1,0.02,0.02,3.92,3.92,49,1,0,1,1,1,1,1,1,10,50,10,50,0.14,0.5,0.69,99.22,137.58,20,0.5,0.31,0.69,0.5,0.5,0.19,0.59,0.63,88
2022-7-18/16:29:46,cns,micro,2,10,100,RUS,CFS,SVM,49,100,0,0,1,0,0,0,0,49,1,0,1,1,1,1,1,1,10,50,10,50,-0.19,0.5,0.71,99.22,140.3,20,0.5,0.69,0.5,0.5,0.5,-0.02,0.41,0.55,88
2022-7-18/16:30:29,cns,micro,2,10,100,40,None,IB1,64,100,0,0,1,0.02,0.02,3.04,3.04,64,1,0,1,1,1,1,1,1,12,60,8,40,0.26,0.4,0.62,82.61,127.49,20,0.6,0.27,0.74,0.6,0.61,0.31,0.67,0.67,7130
2022-7-18/16:30:35,cns,micro,2,10,100,40,None,SVM,64,100,0,0,1,0,0,0,0,64,1,0,1,1,1,1,1,1,13,65,7,35,0.33,0.35,0.59,71.74,121.07,20,0.65,0.25,0.76,0.65,0.66,0.37,0.7,0.69,7130
2022-7-18/16:35:7,cns,micro,2,10,100,40,CFS,IB1,64,100,0,0,1,0.02,0.02,3.04,3.04,64,1,0,1,1,1,1,1,1,11,55,9,45,0.2,0.45,0.66,92.55,135.21,20,0.55,0.29,0.71,0.55,0.56,0.25,0.63,0.65,110
2022-7-18/16:35:8,cns,micro,2,10,100,40,CFS,SVM,64,100,0,0,1,0,0,0,0,64,1,0,1,1,1,1,1,1,11,55,9,45,0.13,0.45,0.67,92.24,137.28,20,0.55,0.38,0.65,0.55,0.57,0.15,0.58,0.62,110
2022-7-18/16:35:33,colon,micro,3,1,100,0,None,IB1,50,100,0,0,1,0.02,0.02,4,3.93,50,1,0,1,1,1,1,1,1,17,80.95,4,19.05,0.59,0.2,0.43,39.39,81.99,21,0.81,0.25,0.86,0.81,0.8,0.65,0.78,0.75,2001
2022-7-18/16:35:35,colon,micro,3,1,100,0,None,SVM,50,100,0,0,1,0,0,0,0,50,1,0,1,1,1,1,1,1,13,61.9,8,38.1,0.28,0.38,0.62,74.15,118.13,21,0.62,0.31,0.7,0.62,0.6,0.34,0.65,0.61,2001
2022-7-18/16:35:56,colon,micro,3,1,100,0,CFS,IB1,50,100,0,0,1,0.02,0.02,4,3.93,50,1,0,1,1,1,1,1,1,15,71.43,6,28.57,0.42,0.29,0.52,57.22,100.39,21,0.71,0.3,0.71,0.71,0.71,0.42,0.71,0.66,77
2022-7-18/16:35:57,colon,micro,3,1,100,0,CFS,SVM,50,100,0,0,1,0,0,0,0,50,1,0,1,1,1,1,1,1,9,42.86,12,57.14,-0.02,0.57,0.76,111.23,144.68,21,0.43,0.46,0.47,0.43,0.33,0,0.49,0.5,77
2022-7-18/16:36:9,colon,micro,3,1,100,RUS,None,IB1,39,100,0,0,1,0.02,0.02,4.88,4.88,39,1,0,1,1,1,1,1,1,17,80.95,4,19.05,0.59,0.21,0.43,41.26,85.54,21,0.81,0.25,0.86,0.81,0.8,0.65,0.78,0.75,2001
2022-7-18/16:36:11,colon,micro,3,1,100,RUS,None,SVM,39,100,0,0,1,0,0,0,0,39,1,0,1,1,1,1,1,1,13,61.9,8,38.1,0.26,0.38,0.62,76.46,123.84,21,0.62,0.34,0.66,0.62,0.62,0.28,0.64,0.6,2001
2022-7-18/16:36:24,colon,micro,3,1,100,RUS,CFS,IB1,39,100,0,0,1,0.02,0.02,4.88,4.88,39,1,0,1,1,1,1,1,1,17,80.95,4,19.05,0.6,0.21,0.43,41.26,85.54,21,0.81,0.23,0.82,0.81,0.81,0.61,0.79,0.75,56
2022-7-18/16:36:25,colon,micro,3,1,100,RUS,CFS,SVM,39,100,0,0,1,0,0,0,0,39,1,0,1,1,1,1,1,1,10,47.62,11,52.38,0.03,0.52,0.72,105.13,145.21,21,0.48,0.45,0.53,0.48,0.44,0.03,0.51,0.52,56
2022-7-18/16:36:40,colon,micro,3,1,100,40,None,IB1,62,100,0,0,1,0.02,0.02,3.56,3.34,62,1,0,1,1,1,1,1,1,17,80.95,4,19.05,0.61,0.2,0.43,38.16,77.95,21,0.81,0.2,0.81,0.81,0.81,0.61,0.81,0.75,2001
2022-7-18/16:36:42,colon,micro,3,1,100,40,None,SVM,62,100,0,0,1,0,0,0,0,62,1,0,1,1,1,1,1,1,13,61.9,8,38.1,0.28,0.38,0.62,72.62,111.93,21,0.62,0.31,0.7,0.62,0.6,0.34,0.65,0.61,2001
2022-7-18/16:37:3,colon,micro,3,1,100,40,CFS,IB1,62,100,0,0,1,0.02,0.02,3.56,3.34,62,1,0,1,1,1,1,1,1,16,76.19,5,23.81,0.52,0.25,0.48,46.95,87.14,21,0.76,0.23,0.77,0.76,0.76,0.52,0.76,0.71,78
2022-7-18/16:37:4,colon,micro,3,1,100,40,CFS,SVM,62,100,0,0,1,0,0,0,0,62,1,0,1,1,1,1,1,1,11,52.38,10,47.62,0.13,0.48,0.69,90.78,125.14,21,0.52,0.39,0.63,0.52,0.48,0.17,0.57,0.55,78
