Time,Dataset,Repetition,SmoteMin,SmoteMax,RUS,Filter,Classifier,Tr_crIns,Tr_crIns%,Tr_incrIns,Tr_incrIns%,Tr_Kappa,Tr_meanAbs,Tr_rootMeanSq,Tr_relAbs,Tr_rootRelSq,Tr_NumIns,Tr_WA_TP,Tr_WA_FP,Tr_WA_Acc,Tr_WA_Recall,Tr_WA_F_M,Tr_WA_MCC,Tr_WA_ROC,Tr_WA_PRC,Te_crIns,Te_crIns%,Te_incrIns,Te_incrIns%,Te_Kappa,Te_meanAbs,Te_rootMeanSq,Te_relAbs,Te_rootRelSq,Te_NumIns,Te_WA_TP,Te_WA_FP,Te_WA_Acc,Te_WA_Recall,Te_WA_F_M,Te_WA_MCC,Te_WA_ROC,Te_WA_PRC,carToRetainWithClass
2020-9-29/11:50:51,brain_tumor1,1,Auto,40,0,None,C4.5,126,99.21,1,0.79,0.99,0.01,0.06,2.52,15.97,127,0.99,0.01,0.99,0.99,0.99,0.99,0.99,0.98,25,83.33,5,16.67,0.65,0.07,0.26,24.96,64.07,30,0.83,0.23,NaN,0.83,NaN,NaN,0.81,0.75,5921
2020-9-29/11:51:18,brain_tumor1,1,Auto,40,0,None,IB1,127,100,0,0,1,0.01,0.02,4.94,4.35,127,1,0,1,1,1,1,1,1,27,90,3,10,0.8,0.05,0.2,17.82,49.23,30,0.9,0.17,NaN,0.9,NaN,NaN,0.86,0.83,5921
2020-9-29/11:51:16,brain_tumor1,1,Auto,40,0,None,Naive-Bayes,127,100,0,0,1,0,0,0,0,127,1,0,1,1,1,1,1,1,27,90,3,10,0.8,0.04,0.2,14.09,50.04,30,0.9,0.17,NaN,0.9,NaN,NaN,0.86,0.83,5921
2020-9-29/11:51:49,brain_tumor1,1,Auto,40,0,None,SVM,127,100,0,0,1,0.24,0.32,97.75,90.72,127,1,0,1,1,1,1,1,1,28,93.33,2,6.67,0.87,0.24,0.32,85.46,80.16,30,0.93,0.12,NaN,0.93,NaN,NaN,0.93,0.91,5921
2020-9-29/12:15:50,brain_tumor1,1,Auto,100,0,CFS,C4.5,179,99.44,1,0.56,0.99,0,0.05,1.88,13.79,180,0.99,0.01,0.99,0.99,0.99,0.99,1,0.99,24,80,6,20,0.58,0.08,0.28,29.25,69.2,30,0.8,0.29,NaN,0.8,NaN,NaN,0.76,0.69,289
2020-9-29/12:15:54,brain_tumor1,1,Auto,100,0,CFS,IB1,180,100,0,0,1,0.01,0.01,3.71,3.18,180,1,0,1,1,1,1,1,1,28,93.33,2,6.67,0.87,0.03,0.16,12.23,39.73,30,0.93,0.12,NaN,0.93,NaN,NaN,0.91,0.88,289
2020-9-29/12:15:53,brain_tumor1,1,Auto,100,0,CFS,Naive-Bayes,180,100,0,0,1,0,0,0,0,180,1,0,1,1,1,1,1,1,29,96.67,1,3.33,0.94,0.01,0.12,4.71,28.42,30,0.97,0.06,NaN,0.97,NaN,NaN,0.97,0.97,289
2020-9-29/12:15:56,brain_tumor1,1,Auto,100,0,CFS,SVM,180,100,0,0,1,0.24,0.32,102.84,93.04,180,1,0,1,1,1,1,1,1,28,93.33,2,6.67,0.88,0.24,0.32,85.76,78.86,30,0.93,0.06,0.93,0.93,0.93,0.88,0.95,0.93,289
2020-9-29/12:3:16,brain_tumor1,1,Auto,100,0,None,C4.5,179,99.44,1,0.56,0.99,0,0.05,1.88,13.79,180,0.99,0.01,0.99,0.99,0.99,0.99,1,0.99,22,73.33,8,26.67,0.51,0.11,0.33,38.56,80.09,30,0.73,0.23,NaN,0.73,NaN,NaN,0.76,0.71,5921
2020-9-29/12:3:45,brain_tumor1,1,Auto,100,0,None,IB1,180,100,0,0,1,0.01,0.01,3.71,3.18,180,1,0,1,1,1,1,1,1,27,90,3,10,0.8,0.05,0.2,16.81,48.62,30,0.9,0.17,NaN,0.9,NaN,NaN,0.86,0.83,5921
